Membership No  Date Joined  Active  
    71314     2020-6-7    no    
    11167     2018-7-11   no    
    44996     2019-11-20  no    
    79908     2019-7-18   no    
    35661     2016-8-2    no    
    98019     2019-5-23   no    
    52292     2019-3-15   no    
    53570     2020-3-10   no    
    74761     2020-9-17   no    
    31809     2015-4-13   no    
    10689     2020-8-12   no    
    56571     2017-9-12   no    
    17967     2020-10-22  no    
    48262     2016-7-7    no    
    79279     2017-3-15   no    
    73505     2019-7-11   no    
    60478     2020-7-12   no    
